OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,ZipCode,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),DefaultData,ComplianceStatus,Outlier,TotalGHGEmissions,GHGEmissionsIntensity
25671,2016,NonResidential,Retail Store,98122.0,3,EAST,47.61478,-122.31847,1916,1.0,2,36940,0,36940,Retail Store,Retail Store,36940.0,,,,,100.0,9.100000381,9.100000381,28.60000038,28.60000038,336745.4063,336745.4063,0.0,False,Compliant,,2.35,0.06
25672,2016,NonResidential,Small- and Mid-Sized Office,98122.0,3,EAST,47.61435,-122.31859,1913,1.0,3,22866,0,22866,Office,Office,22866.0,,,,,,50.5,53.09999847,133.1999969,135.8000031,1153690.125,1213909.875,0.0,False,Compliant,,20.76,0.91
25673,2016,NonResidential,Retail Store,98122.0,3,EAST,47.61466,-122.31984,1920,1.0,1,30240,0,30240,"Restaurant, Retail Store",Retail Store,32205.0,Restaurant,714.0,,,78.0,38.40000153,40.0,107.6999969,108.3000031,1264626.875,1316900.75,0.0,False,Compliant,,18.19,0.6
25674,2016,NonResidential,Low-Rise Multifamily,98122.0,3,EAST,47.61427,-122.31977,1910,1.0,3,32100,0,32100,"Bar/Nightclub, Multifamily Housing",Multifamily Housing,21400.0,Bar/Nightclub,10700.0,,,,3.400000095,4.5,4.300000191,5.400000095,108200.3984,142892.5,0.0,False,Non-Compliant,Low outlier,5.22,0.16
25679,2016,Multifamily LR (1-4),Low-Rise Multifamily,98122.0,3,EAST,47.61738,-122.31749,1925,1.0,3,36148,0,36148,"Multifamily Housing, Parking",Multifamily Housing,29513.0,Parking,6635.0,,,67.0,75.0,83.90000153,105.0999985,114.4000015,2214604.25,2476987.5,0.0,False,Compliant,,100.49,2.78
25682,2016,Multifamily LR (1-4),Low-Rise Multifamily,98105.0,4,NORTHEAST,47.65901,-122.3201,1990,1.0,4,24153,0,24153,"Multifamily Housing, Parking",Multifamily Housing,16554.0,Parking,7599.0,,,,25.20000076,26.10000038,79.0,81.80000305,416566.1875,431453.1875,0.0,False,Compliant,,2.9,0.12
25693,2016,Multifamily LR (1-4),Low-Rise Multifamily,98105.0,4,NORTHEAST,47.65859,-122.31913,1986,1.0,4,47332,12959,34373,Multifamily Housing,Multifamily Housing,33822.0,,,,,92.0,31.20000076,32.90000153,98.09999847,103.1999969,1056269.125,1111459.625,0.0,False,Compliant,,7.36,0.16
25694,2016,NonResidential,Other,98105.0,4,NORTHEAST,47.65729,-122.31937,1962,1.0,2,28586,0,28586,Other,Other,27022.0,,,,,,187.8999939,187.8999939,590.0999756,590.0999756,5078204.0,5078204.0,0.0,False,Compliant,,35.4,1.24
25696,2016,Multifamily MR (5-9),Mid-Rise Multifamily,98105.0,4,NORTHEAST,47.65631,-122.3195,1986,0.0,6,46689,0,46689,"Multifamily Housing, Parking",Multifamily Housing,36589.0,Parking,7000.0,,,96.0,25.5,26.79999924,80.19999695,84.09999847,934621.1875,979535.125,0.0,False,Compliant,,6.52,0.14
25708,2016,Multifamily LR (1-4),Low-Rise Multifamily,98104.0,2,DOWNTOWN,47.59802,-122.32468,1909,1.0,4,33887,0,33887,"Multifamily Housing, Other - Education, Other - Entertainment/Public Assembly, Other - Restaurant/Bar",Multifamily Housing,30387.0,Other - Restaurant/Bar,2000.0,Other - Entertainment/Public Assembly,1750.0,12.0,69.40000153,73.19999695,130.6999969,134.6999969,2473814.25,2606933.0,0.0,False,Compliant,,85.88,2.53
25709,2016,NonResidential,Hotel,98104.0,2,DOWNTOWN,47.59766,-122.32394,1908,1.0,3,28800,0,28800,"Hotel, Restaurant",Hotel,21600.0,Restaurant,7200.0,,,,161.3000031,161.3000031,257.7000122,257.7000122,4644346.0,4644346.0,0.0,False,Compliant,,190.45,6.61
25710,2016,Multifamily LR (1-4),Low-Rise Multifamily,98104.0,2,DOWNTOWN,47.59784,-122.32394,1907,1.0,3,25600,0,25600,Multifamily Housing,Multifamily Housing,25600.0,,,,,45.0,51.70000076,54.90000153,74.30000305,78.09999847,1324534.625,1406424.75,0.0,False,Compliant,,59.08,2.31
25711,2016,NonResidential,Restaurant,98104.0,2,DOWNTOWN,47.59697,-122.32474,1913,1.0,3,28800,0,28800,Restaurant,,,,,,,,31.20000076,32.5,62.0,62.79999924,899924.1875,935833.1875,0.0,False,Compliant,,29.21,1.01
25713,2016,NonResidential,Small- and Mid-Sized Office,98104.0,2,DOWNTOWN,47.59644,-122.32415,1979,1.0,3,35202,0,35202,"Bank Branch, Office",Office,24227.0,Bank Branch,9127.0,,,2.0,108.0999985,108.0999985,339.5,339.5,3605755.5,3605755.5,0.0,False,Compliant,,25.14,0.71
25716,2016,Multifamily LR (1-4),Low-Rise Multifamily,98104.0,3,EAST,47.61769,-122.32701,1963,1.0,4,23150,0,23150,"Multifamily Housing, Parking",Multifamily Housing,18100.0,Parking,2796.0,,,86.0,32.5,34.20000076,93.09999847,98.09999847,588492.5,618836.6875,0.0,False,Compliant,,7.71,0.33
25721,2016,Multifamily LR (1-4),Low-Rise Multifamily,98122.0,3,EAST,47.61598,-122.32758,1960,1.0,4,37151,0,37151,"Multifamily Housing, Parking",Multifamily Housing,37151.0,Parking,3127.0,,,94.0,27.29999924,28.10000038,63.29999924,65.80000305,1013823.0,1042941.5,0.0,False,Compliant,,25.44,0.68
25723,2016,Multifamily MR (5-9),Mid-Rise Multifamily,98122.0,3,EAST,47.61539,-122.32708,2013,1.0,6,130284,0,130284,"Multifamily Housing, Parking",Multifamily Housing,90314.0,Parking,39970.0,,,33.0,78.0,78.5,154.3000031,155.8999939,7042343.0,7086472.5,0.0,False,Compliant,,229.55,1.76
25724,2016,Multifamily MR (5-9),Mid-Rise Multifamily,98122.0,3,EAST,47.61593,-122.32715,2012,1.0,6,24962,0,24962,"Multifamily Housing, Parking",Multifamily Housing,17849.0,Parking,3000.0,,,,35.70000076,37.09999847,112.0,116.5999985,636744.375,663047.5,0.0,False,Compliant,,4.44,0.18
25725,2016,Multifamily MR (5-9),Mid-Rise Multifamily,98122.0,3,EAST,47.61609,-122.32714,1997,1.0,7,73830,0,73830,"Multifamily Housing, Parking",Multifamily Housing,58905.0,Parking,14925.0,,,76.0,31.70000076,33.20000076,95.0,99.19999695,1869730.5,1956928.25,0.0,False,Compliant,,19.04,0.26
25726,2016,Multifamily MR (5-9),Mid-Rise Multifamily,98122.0,3,EAST,47.61666,-122.32708,1994,1.0,6,77577,0,77577,"Multifamily Housing, Office, Parking",Multifamily Housing,43656.0,Parking,17561.0,Office,7011.0,89.0,41.09999847,42.79999924,97.5,101.4000015,2080866.75,2166387.0,0.0,False,Compliant,,49.7,0.64
25737,2016,NonResidential,Senior Care Community,98101.0,7,EAST,47.61318,-122.32747,1969,1.0,6,95117,26082,69035,"Parking, Senior Care Community",Senior Care Community,69035.0,Parking,26082.0,,,1.0,104.3000031,107.6999969,239.8999939,246.8000031,7202141.5,7437745.0,0.0,False,Compliant,,183.79,1.93
25742,2016,Multifamily MR (5-9),Mid-Rise Multifamily,98122.0,3,EAST,47.6146,-122.32661,1926,1.0,7,54572,0,54572,Multifamily Housing,Multifamily Housing,54572.0,,,,,99.0,48.79999924,55.20000076,69.0,76.0,2664475.5,3010126.5,0.0,False,Compliant,,120.1,2.2
25743,2016,NonResidential,Worship Facility,98122.0,3,EAST,47.61426,-122.32661,1910,1.0,2,24600,0,24600,Worship Facility,Worship Facility,24600.0,,,,,69.0,13.5,14.10000038,36.09999847,38.0,331059.5,347690.5938,0.0,False,Compliant,,5.66,0.23
25744,2016,Multifamily LR (1-4),Low-Rise Multifamily,98109.0,7,MAGNOLIA / QUEEN ANNE,47.63447,-122.35724,1990,1.0,4,20378,0,20378,Multifamily Housing,Multifamily Housing,20378.0,,,,,,31.70000076,33.59999847,86.5,90.69999695,645028.0,685567.125,0.0,False,Compliant,,10.29,0.5
25745,2016,NonResidential,Worship Facility,98104.0,3,EAST,47.60514,-122.32613,1900,1.0,1,48850,0,48850,"Office, Other, Worship Facility",Worship Facility,28725.0,Office,4325.0,Other,3700.0,,28.89999962,34.29999924,47.40000153,53.79999924,1063480.5,1259282.25,815676.125,False,Compliant,,65.05,1.33
25747,2016,Multifamily MR (5-9),Mid-Rise Multifamily,98122.0,3,EAST,47.61592,-122.32644,2001,1.0,8,104452,41376,63076,"Multifamily Housing, Parking, Retail Store",Multifamily Housing,50473.0,Parking,41376.0,Retail Store,6150.0,86.0,44.70000076,45.0,115.5999985,116.5,2531070.25,2548435.5,0.0,False,Compliant,,48.62,0.47
25751,2016,Multifamily LR (1-4),Low-Rise Multifamily,98103.0,5,NORTHWEST,47.69687,-122.34221,1989,1.0,4,21880,0,21880,"Multifamily Housing, Parking",Multifamily Housing,18480.0,Parking,3000.0,,,71.0,34.40000153,36.40000153,108.0,114.1999969,635698.6875,671818.125,0.0,False,Compliant,,4.43,0.2
25752,2016,Multifamily LR (1-4),Low-Rise Multifamily,98103.0,6,NORTHWEST,47.69658,-122.34342,1989,,4,29562,8531,21031,,,,,,,,,,,,,,,,False,Non-Compliant,,,
25754,2016,Multifamily LR (1-4),Low-Rise Multifamily,98126.0,1,DELRIDGE,47.53456,-122.37632,1989,1.0,4,84415,0,84415,"Multifamily Housing, Parking",Multifamily Housing,63198.0,Parking,21217.0,,,91.0,26.70000076,27.89999962,83.90000153,87.5,1688612.5,1761329.25,0.0,False,Compliant,,11.77,0.14
25756,2016,Multifamily LR (1-4),Low-Rise Multifamily,98116.0,1,SOUTHWEST,47.5519,-122.38753,1978,1.0,4,22000,0,22000,"Multifamily Housing, Parking",Multifamily Housing,22000.0,Parking,10000.0,,,100.0,7.0,7.599999905,22.10000038,23.79999924,154798.0938,167046.7969,0.0,False,Non-Compliant,Low outlier,1.08,0.05
25757,2016,Multifamily LR (1-4),Low-Rise Multifamily,98126.0,1,SOUTHWEST,47.56079,-122.3766,1988,1.0,4,21581,0,21581,"Multifamily Housing, Parking",Multifamily Housing,21581.0,Parking,5616.0,,,,17.79999924,19.0,55.79999924,59.70000076,383524.0,410574.9063,0.0,False,Compliant,,2.67,0.12
25758,2016,Multifamily LR (1-4),Low-Rise Multifamily,98119.0,7,MAGNOLIA / QUEEN ANNE,47.63182,-122.36384,1920,1.0,4,57212,0,57212,Multifamily Housing,Multifamily Housing,47346.0,,,,,23.0,34.09999847,37.09999847,107.0999985,116.5,1614673.625,1757296.375,0.0,False,Compliant,,11.26,0.2
25761,2016,Multifamily LR (1-4),Low-Rise Multifamily,98106.0,1,DELRIDGE,47.53144,-122.36076,1990,1.0,2,131307,0,131307,Multifamily Housing,Multifamily Housing,131307.0,,,,,50.0,47.29999924,51.20000076,143.0,155.5,6206083.5,6725040.5,0.0,False,Compliant,,58.82,0.45
25763,2016,Multifamily LR (1-4),Low-Rise Multifamily,98116.0,1,SOUTHWEST,47.58968,-122.38587,1969,,3,30420,0,30420,,,,,,,,,34.5,37.0,,,1049638.75,1126781.75,,False,Compliant,,,
25770,2016,Multifamily LR (1-4),Low-Rise Multifamily,98116.0,1,SOUTHWEST,47.59027,-122.3866,1966,1.0,4,39757,3690,36067,Multifamily Housing,Multifamily Housing,36067.0,,,,,73.0,26.0,28.10000038,81.69999695,88.40000153,938833.625,1015186.0,0.0,True,Error - Correct Default Data,,6.54,0.16
25772,2016,NonResidential,Hospital,98116.0,1,SOUTHWEST,47.58767,-122.38672,1961,0.0,3,54863,0,54863,Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),109726.0,,,,,100.0,18.60000038,18.79999924,58.29999924,59.09999847,2037720.625,2066851.25,0.0,False,Compliant,,14.21,0.26
