OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,ZipCode,CouncilDistrictCode,Neighborhood,Latitude,Longitude,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),DefaultData,ComplianceStatus,Outlier,BuildingAge,ParkingRatio,BuildingAreaRatio,EnergyUsePerArea,ElectricityIntensity,LargestUseRatio,GHGPerArea,LatitudeBand
24764,2016,Multifamily MR (5-9),Mid-Rise Multifamily,98133.0,5,NORTHWEST,47.70349,-122.33279,1.0,9,127230,0,127230,Multifamily Housing,Multifamily Housing,,,,,84.0,32.20000076,33.59999847,98.19999695,103.0999985,3699690.0,3862066.75,0.0,False,Compliant,,46,0.0,1.0,29.078755010610706,29.078755010610706,0.9038748722785507,0.0002585082134716655,47.7
24765,2016,Multifamily LR (1-4),Low-Rise Multifamily,98125.0,5,NORTH,47.70198,-122.32285,1.0,4,20132,0,20132,Multifamily Housing,Multifamily Housing,,,,,47.0,32.90000153,34.90000153,103.4000015,109.5,662701.1875,702121.625,0.0,False,Compliant,,49,0.0,1.0,32.917801882575006,32.917801882575006,1.0,0.0002294853963838665,47.7
24769,2016,NonResidential,Senior Care Community,98133.0,5,NORTH,47.70178,-122.32352,1.0,6,244500,0,244500,Senior Care Community,Senior Care Community,,,,,100.0,45.09999847,46.29999924,101.5,103.1999969,11019641.0,11314740.0,0.0,False,Compliant,,7,0.0,1.0,45.0701063394683,45.0701063394683,1.0,0.0011975460122699386,47.7
24772,2016,Multifamily LR (1-4),Low-Rise Multifamily,98125.0,5,North,47.71642,-122.31292,1.0,4,33034,0,33034,"Multifamily Housing, Parking",Multifamily Housing,Parking,1114.0,,,92.0,20.89999962,22.0,65.59999847,69.19999695,644121.6875,679460.875,0.0,False,Compliant,,36,0.0,1.0,19.498749394563177,19.498749394563177,0.9330992310952352,0.000135920566688866,47.7
24775,2016,Multifamily LR (1-4),Low-Rise Multifamily,98125.0,5,NORTH,47.72917,-122.2937,1.0,4,88096,0,88096,"Multifamily Housing, Swimming Pool",Multifamily Housing,Swimming Pool,0.0,,,39.0,30.89999962,32.0,97.0,100.5,2721296.25,2820543.5,0.0,False,Compliant,,37,0.0,1.0,30.890122707046856,30.890122707046856,1.0,0.00021533327279331637,47.7
24778,2016,NonResidential,Warehouse,98134.0,2,GREATER DUWAMISH,47.55608,-122.3388,1.0,1,24617,0,24617,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,,,,,,4.699999809,4.800000191,14.80000019,15.10000038,106918.0,109471.7969,0.0,False,Compliant,,84,0.0,1.0,4.343258723646261,4.343258723646261,0.9242393467928667,3.0466750619490595e-05,47.6
24780,2016,NonResidential,Other,98134.0,2,GREATER DUWAMISH,47.55768,-122.33137,1.0,3,127065,84710,42355,"Office, Parking",Parking,Office,42355.0,,,,76.59999847,79.40000153,240.6000061,249.3999939,3245111.5,3363692.75,0.0,False,Compliant,,7,0.6666666666666666,0.3333333333333333,25.538987919568726,25.538987919568726,0.6666666666666666,0.0001780191240703577,47.6
24781,2016,NonResidential,Retail Store,98134.0,2,GREATER DUWAMISH,47.55772,-122.33017,1.0,1,37247,0,37247,Retail Store,Retail Store,,,,,69.0,46.90000153,53.40000153,91.30000305,97.19999695,1748644.5,1988034.875,0.0,False,Compliant,,52,0.0,1.0,46.9472574972481,46.9472574972481,1.0,0.0015668375976588718,47.6
24784,2016,Multifamily LR (1-4),Low-Rise Multifamily,98102.0,3,EAST,47.62455,-122.32636,1.0,4,38521,0,38521,"Multifamily Housing, Parking",Multifamily Housing,Parking,3697.0,,,72.0,25.39999962,26.79999924,79.90000153,84.19999695,885843.1875,933356.125,0.0,False,Compliant,,50,0.0,1.0,22.99637048622829,22.99637048622829,0.9040263752239038,0.00016043197217102358,47.6
24790,2016,Multifamily LR (1-4),Low-Rise Multifamily,98102.0,3,EAST,47.6239,-122.32514,1.0,4,23968,0,23968,Multifamily Housing,Multifamily Housing,,,,,94.0,25.10000038,26.79999924,78.90000153,84.09999847,602312.875,641878.625,0.0,False,Compliant,,53,0.0,1.0,25.129876293391188,25.129876293391188,1.0,0.0001752336448598131,47.6
